"其他内分泌和代谢疾病引起的多神经病(E00-E07+,E15-E16+,E20-E34+,E70-E89+)",nhd,1
"其他器官的取除(部分)(全部)作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故",nhd,1
"头部其他特指损伤的(分类于S03.-,S07.-,S08.-和S09.0-S09.8)的后遗症",nhd,1
急性粒细胞性白血病[AML](M98610/3) 按法、美、英(FAB)分类:M1未分化型,nhd,1
轻型货车或篷车的车辆外人员在轻型货车或篷车与小汽车、轻型货车或篷车碰撞非交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在轻型货车或篷车与小汽车、轻型货车或篷车碰撞非交通事故中的损伤,nhd,1
非交通事故中轻型货车或篷车与重型运输车或公共汽车碰撞中轻型货车或篷车的车辆外的人员的损伤,nhd,1
弥漫性甲状腺肿伴甲状腺机能亢进(恶性突眼Graves`(浸润性突眼))[眼型格林氏病],nhd,1
轻型货车或篷车的车辆外人员在轻型货车或篷车与小汽车、轻型货车或篷车碰撞交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在轻型货车或篷车与小汽车、轻型货车或篷车碰撞交通事故中的损伤,nhd,1
轻型货车或篷车的车辆外人员在轻型货车或篷车与重型运输车或公共汽车碰撞非交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在轻型货车或篷车与重型运输车或公共汽车碰撞非交通事故中的损伤,nhd,1
"麻醉品和致幻药[致幻剂]的中毒及暴露于该类药物,不可归类在他处,意图不确定,未特指场所",nhd,1
"胃或十二指肠探子的插入作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故",nhd,1
"手术和医疗操作的后遗症作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故",nhd,1
"其他背部病引起的神经根和神经丛压迫(M45-M46+,M48.-+,M53-M54+)",nhd,1
非交通事故中轻型货车或篷车与小汽车、轻型货车或篷车碰撞中轻型货车或篷车的辆外人员的损伤,nhd,1
非交通事故中轻型货车或篷车与小汽车、轻型货车或篷车碰撞中未特指轻型货车或篷车乘员的损伤,nhd,1
轻型货车或篷车的车辆外人员在轻型货车或篷车与重型运输车或公共汽车碰撞交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在轻型货车或篷车与重型运输车或公共汽车碰撞交通事故中的损伤,nhd,1
"人工内部装置植入手术作为病人异常反应或以后并发症的原因,而在操作当时并耒提及意外事故",nhd,1
"吻合、分流或移植手术作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故",nhd,1
"放射学操作和放射治疗作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故",nhd,1
非交通事故中轻型货车或篷车与两轮或三轮机动车碰撞造成轻型货车或篷车的车辆外人员的损伤,nhd,1
交通事故中轻型货车或篷车与小汽车、轻型货车或篷车碰撞中未特指轻型货车或篷车乘员的损伤,nhd,1
非交通事故中轻型货车或篷车与重型运输车或公共汽车碰撞中未特指轻型货车或篷车乘员的损伤,nhd,1
轻型货车或篷车的车辆外人员在轻型货车或篷车与两轮或三轮机动车碰撞非交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在轻型货车或篷车与两轮或三轮机动车碰撞非交通事故中的损伤,nhd,1
轻型货车或篷车的车辆外人员在在轻型货车或篷车与固定或静止物体碰撞非交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在在轻型货车或篷车与固定或静止物体碰撞非交通事故中的损伤,nhd,1
非脂类网状组织细胞增多病[累-塞二氏病、莱特勒(尔)-西韦病](M97220/3),nhd,1
非交通事故中轻型货车或篷车与两轮或三轮机动车碰撞造未特指的轻型货车或篷车乘员的损伤,nhd,1
交通事故中轻型货车或篷车与两轮或三轮机动车碰撞造成轻型货车或篷车的车辆外人员的损伤,nhd,1
交通事故中轻型货车或篷车与两轮或三轮机动车碰撞造成未特指的轻型货车或篷车乘员的损伤,nhd,1
交通事故中轻型货车或篷车与重型运输车或公共汽车碰撞中造成轻型货车或篷车外人员的损伤,nhd,1
交通事故中轻型货车或篷车与重型运输车或公共汽车碰撞中未特指轻型货车或篷车乘员的损伤,nhd,1
镇癫痫药、镇静-催眠剂、抗震颤麻痹药和对精神有影响的药物的意外中毒及暴露于该类药物,nhd,1
镇癫痫药、镇静-催眠剂、抗震颤麻痹药和对精神有影响的药物的故意自毒及暴露于该类药物,nhd,1
非交通事故中重型运输车与其他和未特指机动车辆碰撞造成未特指的重型运输车乘员的损伤,nhd,1
三轮机动车的车辆外人员在三轮机动车与小汽车、轻型货车或篷车碰撞非交通事故中的损伤,nhd,1
未特指的三轮机动车乘员在三轮机动车与小汽车、轻型货车或篷车碰撞非交通事故中的损伤,nhd,1
轻型货车或篷车的车辆外人员在轻型货车或篷车与两轮或三轮机动车碰撞交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在轻型货车或篷车与两轮或三轮机动车碰撞交通事故中的损伤,nhd,1
轻型货车或篷车的车辆外人员在轻型货车或篷车与火车或铁路车辆碰撞非交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在轻型货车或篷车与火车或铁路车辆碰撞非交通事故中的损伤,nhd,1
轻型货车或篷车的车辆外人员在轻型货车或篷车与其他非机动车辆碰撞非交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在轻型货车或篷车与其他非机动车辆碰撞非交通事故中的损伤,nhd,1
轻型货车或篷车的车辆外人员在在轻型货车或篷车与固定或静止物体碰撞交通事故中的损伤,nhd,1
未特指的轻型货车或篷车乘员在在轻型货车或篷车与固定或静止物体碰撞交通事故中的损伤,nhd,1
重型运输车的车辆外人员在重型运输车与小汽车、轻型货车或篷车碰撞非交通事故中的损伤,nhd,1
未特指的重型运输车乘员在重型运输车与小汽车、轻型货车或篷车碰撞非交通事故中的损伤,nhd,1
"未特指的外科操作作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故",nhd,1
"泌尿道导管插入术作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故",nhd,1
AILD[血管成免疫细胞性淋巴腺病伴血蛋白异常]外周T-细胞淋巴瘤(C84.4),nhd,1
"急性髓样(粒细胞性)白血病(C92.0)(FAB:M1未分化型,M2部分分化型)",nhd,1
急性粒-单核细胞白血病[AMMOL](M98670/3) 按(FAB)分类:M4,nhd,1
